ticket_id,department_id,request_type,priority,opened_date,closed_date,sla_target_days,status
T000048,D004,Benefits Question,Medium,2024-11-20,2024-11-23,5,Closed
T000049,D002,System Support,Medium,2024-08-30,,5,In Progress
T000050,D006,Vendor Request,Low,2026-02-03,2026-02-05,7,Closed
T000051,D011,Benefits Question,High,2025-12-03,2025-12-06,3,Closed
T000052,D003,IT Access,Critical,2026-02-26,,1,In Progress
T000053,D009,System Support,Medium,2024-09-09,,5,Open
T000054,D002,Vendor Request,Low,2025-09-17,2025-09-22,7,Closed
T000055,D003,IT Access,Low,2025-09-15,2025-09-18,7,Closed
T000056,D004,Payroll Issue,Medium,2026-01-08,2026-01-10,5,Closed
T000057,D007,Benefits Question,Low,2025-03-27,2025-03-27,7,Closed
T000058,D010,Onboarding,High,2026-05-13,2026-05-17,3,Closed
T000059,D001,IT Access,Medium,2025-01-14,2025-01-19,5,Closed
T000060,D003,IT Access,High,2025-07-28,2025-08-01,3,Closed
T000061,D001,Vendor Request,Low,2025-02-08,2025-02-09,7,Closed
T000062,D003,Onboarding,Critical,2025-09-24,2025-09-30,1,Closed
T000063,D008,IT Access,Critical,2024-09-24,2024-10-07,1,Closed
T000064,D003,Benefits Question,Medium,2025-01-21,,5,In Progress
T000065,D003,Benefits Question,High,2026-05-23,,3,In Progress
T000066,D008,Payroll Issue,Low,2024-10-11,2024-10-13,7,Closed
T000067,D010,Onboarding,Medium,2024-08-12,2024-08-20,5,Closed
T000068,D008,Vendor Request,Critical,2025-11-29,2025-11-30,1,Closed
T000069,D001,IT Access,High,2024-12-26,,3,Open
T000070,D003,Vendor Request,Medium,2025-12-15,2025-12-15,5,Closed
T000071,D011,Onboarding,Medium,2024-10-28,2024-11-05,5,Closed
T000072,D001,Vendor Request,High,2026-05-09,2026-05-12,3,Closed
T000073,D008,Onboarding,Critical,2025-05-16,,1,Open
T000074,D010,Onboarding,High,2024-11-17,2024-11-25,3,Closed
T000075,D005,Payroll Issue,Low,2026-01-02,2026-01-03,7,Closed
T000076,D006,Onboarding,Medium,2025-04-22,2025-04-26,5,Closed
T000077,D005,IT Access,Critical,2024-06-03,2024-06-12,1,Closed
T000078,D006,Onboarding,Medium,2024-09-12,2024-09-18,5,Closed
T000079,D002,Payroll Issue,Medium,2025-04-24,2025-04-26,5,Closed
T000080,D005,Onboarding,Low,2025-10-23,2025-10-30,7,Closed
T000081,D010,Vendor Request,High,2026-01-12,2026-01-14,3,Closed
T000082,D003,Payroll Issue,Medium,2025-06-20,2025-06-22,5,Closed
T000083,D010,Benefits Question,High,2025-02-11,2025-02-14,3,Closed
T000084,D010,IT Access,High,2025-06-15,2025-06-22,3,Closed
T000085,D010,Payroll Issue,Medium,2025-07-02,2025-07-05,5,Closed
T000086,D008,Onboarding,High,2024-11-19,2024-11-22,3,Closed
T000087,D008,IT Access,Low,2025-02-28,2025-03-04,7,Closed
T000088,D004,Onboarding,Medium,2025-07-23,,5,In Progress
T000089,D009,Vendor Request,Low,2026-05-26,2026-05-28,7,Closed
T000090,D006,Onboarding,Medium,2025-05-05,,5,In Progress
T000091,D006,System Support,Medium,2025-09-04,2025-09-09,5,Closed
T000092,D006,IT Access,Low,2025-06-19,2025-06-22,7,Closed
T000093,D010,System Support,Medium,2025-08-22,,5,In Progress
T000094,D002,Onboarding,High,2025-05-09,2025-05-12,3,Closed
T000095,D006,System Support,Critical,2025-08-31,2025-09-02,1,Closed
T000096,D010,IT Access,High,2026-05-28,2026-06-01,3,Closed
T000097,D006,Payroll Issue,Medium,2026-03-08,2026-03-08,5,Closed
T000098,D012,Vendor Request,Critical,2025-03-03,2025-03-10,1,Closed
T000099,D011,Benefits Question,Medium,2026-01-15,2026-01-24,5,Closed
T000100,D012,Onboarding,High,2024-11-09,,3,In Progress
T000101,D011,Onboarding,Medium,2025-02-24,2025-03-05,5,Closed
T000102,D005,System Support,High,2025-03-11,2025-03-16,3,Closed
T000103,D003,Payroll Issue,Low,2024-10-16,2024-10-17,7,Closed
T000104,D012,Onboarding,Critical,2025-03-25,2025-03-30,1,Closed
T000105,D001,Payroll Issue,High,2025-07-22,2025-07-25,3,Closed
T000106,D010,Payroll Issue,Low,2025-02-08,2025-02-11,7,Closed
T000107,D008,Payroll Issue,High,2025-11-18,,3,Open
T000108,D012,IT Access,Medium,2026-05-16,,5,In Progress
T000109,D006,Payroll Issue,Low,2024-07-27,2024-08-01,7,Closed
T000110,D012,System Support,High,2025-10-31,2025-11-06,3,Closed
T000111,D008,IT Access,High,2025-05-06,2025-05-13,3,Closed
T000112,D004,System Support,Low,2024-07-27,2024-07-29,7,Closed
T000113,D006,Benefits Question,Low,2025-12-03,2025-12-05,7,Closed
T000114,D012,IT Access,Low,2026-02-11,2026-02-18,7,Closed
T000115,D008,System Support,Critical,2025-08-27,2025-08-30,1,Closed
T000116,D003,Vendor Request,Critical,2025-07-04,2025-07-09,1,Closed
T000117,D007,Benefits Question,Critical,2024-12-21,2024-12-25,1,Closed
T000118,D002,Vendor Request,Medium,2025-08-02,2025-08-05,5,Closed
T000119,D003,Vendor Request,Low,2025-04-02,2025-04-07,7,Closed
T000120,D001,Benefits Question,Low,2024-10-24,2024-10-26,7,Closed
T000121,D006,Benefits Question,Low,2025-08-03,2025-08-08,7,Closed
T000122,D002,Benefits Question,Medium,2025-02-12,2025-02-13,5,Closed
T000123,D007,Payroll Issue,Low,2024-07-14,,7,Open
T000124,D009,IT Access,High,2025-01-09,2025-01-16,3,Closed
T000125,D010,Vendor Request,Low,2025-09-05,2025-09-07,7,Closed
T000126,D007,System Support,Medium,2024-08-27,2024-08-28,5,Closed
T000127,D010,Vendor Request,Medium,2025-04-30,,5,Open
T000128,D001,IT Access,High,2025-04-01,2025-04-07,3,Closed
T000129,D004,Vendor Request,High,2026-01-13,2026-01-16,3,Closed
T000130,D011,Benefits Question,High,2026-01-16,2026-01-17,3,Closed
T000131,D004,IT Access,Low,2025-05-09,,7,In Progress
T000132,D010,Onboarding,Critical,2026-03-06,2026-03-10,1,Closed
T000133,D001,Benefits Question,Low,2025-04-25,2025-04-28,7,Closed
T000134,D007,IT Access,High,2025-12-01,2025-12-09,3,Closed
T000135,D008,Payroll Issue,Low,2024-10-03,,7,Open
T000136,D001,Payroll Issue,Medium,2026-05-16,,5,In Progress
T000137,D011,Benefits Question,Low,2024-07-08,2024-07-10,7,Closed
T000138,D008,IT Access,High,2025-05-07,2025-05-15,3,Closed
T000139,D008,Vendor Request,High,2024-07-09,2024-07-14,3,Closed
T000140,D002,System Support,Critical,2026-02-14,,1,In Progress
T000141,D003,Benefits Question,Critical,2025-11-17,2025-11-19,1,Closed
T000142,D006,Payroll Issue,Critical,2025-12-20,2025-12-20,1,Closed
T000143,D001,Benefits Question,Critical,2024-11-15,2024-11-21,1,Closed
T000144,D008,Benefits Question,Medium,2024-11-29,2024-12-03,5,Closed
T000145,D005,Onboarding,Low,2025-05-24,,7,In Progress
T000146,D012,System Support,Low,2026-05-26,2026-05-27,7,Closed
T000147,D002,System Support,High,2025-02-20,2025-02-21,3,Closed
T000148,D009,Vendor Request,Medium,2025-10-11,2025-10-13,5,Closed
T000149,D009,IT Access,Critical,2025-02-22,2025-03-05,1,Closed
T000150,D007,Onboarding,Critical,2025-05-24,2025-06-03,1,Closed
T000151,D004,Vendor Request,High,2026-03-02,2026-03-05,3,Closed
T000152,D002,Vendor Request,Low,2024-11-21,,7,In Progress
T000153,D009,Onboarding,Medium,2026-01-17,2026-01-22,5,Closed
T000154,D008,Payroll Issue,Medium,2024-08-28,2024-08-29,5,Closed
T000155,D004,Payroll Issue,Medium,2025-04-30,2025-05-02,5,Closed
T000156,D001,Vendor Request,Low,2026-02-06,2026-02-09,7,Closed
T000157,D011,Vendor Request,Medium,2025-11-04,2025-11-08,5,Closed
T000158,D011,Payroll Issue,High,2025-12-20,2025-12-26,3,Closed
T000159,D006,System Support,Low,2026-03-01,2026-03-04,7,Closed
T000160,D002,Vendor Request,Critical,2026-01-30,2026-01-31,1,Closed
T000161,D009,Benefits Question,High,2025-07-29,2025-07-30,3,Closed
T000162,D009,Vendor Request,Low,2025-04-04,2025-04-05,7,Closed
T000163,D012,Onboarding,Critical,2026-02-03,2026-02-07,1,Closed
T000164,D007,Payroll Issue,Medium,2024-10-27,2024-10-29,5,Closed
T000165,D010,Onboarding,Low,2025-10-15,2025-10-19,7,Closed
T000166,D010,IT Access,High,2024-07-26,2024-08-04,3,Closed
T000167,D006,Vendor Request,High,2024-08-13,2024-08-15,3,Closed
T000168,D007,System Support,Critical,2025-09-10,2025-09-17,1,Closed
T000169,D010,Onboarding,Critical,2026-03-26,2026-04-01,1,Closed
T000170,D003,Benefits Question,Critical,2024-07-17,2024-07-21,1,Closed
T000171,D003,Onboarding,Critical,2025-11-13,2025-11-16,1,Closed
T000172,D007,Benefits Question,Medium,2025-12-29,2026-01-02,5,Closed
T000173,D001,System Support,Critical,2025-02-15,2025-02-20,1,Closed
T000174,D005,Benefits Question,Low,2025-06-10,2025-06-13,7,Closed
T000175,D006,Benefits Question,High,2024-09-14,2024-09-17,3,Closed
T000176,D005,Vendor Request,Low,2025-04-18,2025-04-19,7,Closed
T000177,D004,Payroll Issue,High,2026-02-24,2026-03-01,3,Closed
T000178,D012,Vendor Request,High,2025-12-29,2025-12-30,3,Closed
T000179,D005,System Support,Critical,2024-11-24,,1,Open
T000180,D010,System Support,Low,2025-09-16,2025-09-24,7,Closed
T000181,D004,Vendor Request,Medium,2024-10-14,2024-10-15,5,Closed
T000182,D007,System Support,Critical,2025-08-29,2025-09-01,1,Closed
T000183,D009,Benefits Question,Low,2025-04-28,2025-04-30,7,Closed
T000184,D009,Payroll Issue,Low,2025-08-02,2025-08-05,7,Closed
T000185,D005,System Support,Critical,2024-09-04,2024-09-07,1,Closed
T000186,D003,Onboarding,Low,2025-09-09,,7,In Progress
T000187,D004,Payroll Issue,Low,2026-04-06,2026-04-08,7,Closed
T000188,D004,IT Access,Critical,2025-08-04,2025-08-08,1,Closed
T000189,D006,System Support,Medium,2026-02-14,2026-02-17,5,Closed
T000190,D005,Benefits Question,Critical,2024-09-07,,1,In Progress
T000191,D009,Vendor Request,Low,2025-06-08,,7,In Progress
T000192,D011,IT Access,Medium,2024-06-18,2024-06-24,5,Closed
T000193,D008,Onboarding,Critical,2025-01-17,2025-01-22,1,Closed
T000194,D008,Onboarding,High,2025-03-22,2025-03-26,3,Closed
T000195,D003,Benefits Question,Low,2024-07-11,2024-07-15,7,Closed
T000196,D005,IT Access,Critical,2026-03-08,2026-03-15,1,Closed
T000197,D003,Onboarding,Medium,2024-06-26,2024-07-03,5,Closed
T000198,D011,Payroll Issue,Medium,2024-07-21,2024-07-23,5,Closed
T000199,D005,System Support,Critical,2026-01-17,2026-01-18,1,Closed
T000200,D009,IT Access,Low,2026-04-23,,7,In Progress
T000201,D003,System Support,Medium,2024-06-26,2024-07-01,5,Closed
T000202,D010,IT Access,Medium,2024-10-27,2024-11-02,5,Closed
T000203,D010,Benefits Question,High,2026-04-30,2026-05-07,3,Closed
T000204,D007,Vendor Request,High,2024-09-27,2024-09-30,3,Closed
T000205,D008,Benefits Question,Medium,2025-10-13,2025-10-18,5,Closed
T000206,D008,Benefits Question,Critical,2024-07-30,,1,In Progress
T000207,D010,IT Access,Low,2024-11-27,2024-12-07,7,Closed
T000208,D011,Benefits Question,High,2024-10-07,,3,In Progress
T000209,D005,System Support,Low,2025-04-05,,7,Open
T000210,D008,IT Access,High,2024-09-16,2024-09-22,3,Closed
T000211,D011,Benefits Question,High,2026-03-01,,3,Open
T000212,D005,System Support,High,2024-11-23,,3,Open
T000213,D004,Payroll Issue,Medium,2024-12-21,2024-12-25,5,Closed
T000214,D001,Onboarding,Critical,2025-08-25,,1,Open
T000215,D011,Payroll Issue,Low,2025-12-18,2025-12-22,7,Closed
T000216,D011,Vendor Request,High,2025-05-10,,3,In Progress
T000217,D005,Vendor Request,Critical,2024-06-15,,1,Open
T000218,D007,System Support,Low,2026-03-26,2026-03-26,7,Closed
T000219,D010,System Support,Medium,2024-06-18,,5,In Progress
T000220,D006,System Support,Medium,2026-05-31,,5,Open
T000221,D011,Onboarding,Critical,2024-10-05,,1,In Progress
T000222,D009,Benefits Question,Medium,2026-05-25,2026-05-28,5,Closed
T000223,D011,Onboarding,Medium,2024-12-27,,5,In Progress
T000224,D002,Vendor Request,Medium,2025-04-05,2025-04-09,5,Closed
T000225,D012,Benefits Question,Medium,2026-05-28,,5,Open
T000226,D011,Benefits Question,Low,2026-02-04,,7,In Progress
T000227,D004,Benefits Question,Medium,2026-01-20,2026-01-21,5,Closed
T000228,D012,Benefits Question,Critical,2024-12-31,2024-12-31,1,Closed
T000229,D006,Benefits Question,High,2025-07-27,2025-07-29,3,Closed
T000230,D010,Benefits Question,Critical,2026-01-28,2026-01-31,1,Closed
T000231,D002,Vendor Request,Low,2026-01-04,2026-01-10,7,Closed
T000232,D011,Onboarding,Low,2026-02-14,2026-02-21,7,Closed
T000233,D004,Onboarding,Low,2024-10-20,2024-10-27,7,Closed
T000234,D009,Benefits Question,Critical,2025-08-26,,1,In Progress
T000235,D001,Payroll Issue,Medium,2025-05-14,2025-05-17,5,Closed
T000236,D004,Benefits Question,Critical,2026-05-28,2026-06-04,1,Closed
T000237,D010,Vendor Request,Medium,2025-12-18,2025-12-19,5,Closed
T000238,D006,System Support,Medium,2025-10-22,,5,In Progress
T000239,D002,Vendor Request,High,2025-12-05,2025-12-06,3,Closed
T000240,D011,Payroll Issue,High,2025-03-20,2025-03-24,3,Closed
T000241,D011,IT Access,Low,2024-08-29,,7,In Progress
T000242,D005,Payroll Issue,Medium,2025-12-06,2025-12-08,5,Closed
T000243,D010,Payroll Issue,Critical,2025-06-24,2025-06-30,1,Closed
T000244,D002,Payroll Issue,Critical,2024-10-29,2024-11-02,1,Closed
T000245,D011,Vendor Request,Critical,2026-04-03,2026-04-07,1,Closed
T000246,D007,Vendor Request,Critical,2024-10-15,,1,In Progress
T000247,D001,IT Access,Medium,2025-11-15,2025-11-19,5,Closed
T000248,D001,Benefits Question,Medium,2024-12-12,2024-12-19,5,Closed
T000249,D001,System Support,Low,2024-07-21,2024-07-22,7,Closed
T000250,D011,System Support,Medium,2025-05-06,2025-05-09,5,Closed
T000251,D004,System Support,High,2025-11-29,2025-12-06,3,Closed
T000252,D005,Payroll Issue,Low,2024-10-31,2024-11-01,7,Closed
T000253,D007,Onboarding,High,2025-03-15,2025-03-17,3,Closed
T000254,D002,IT Access,High,2026-02-20,2026-02-24,3,Closed
T000255,D008,System Support,High,2026-03-30,,3,In Progress
T000256,D007,System Support,Medium,2025-09-09,2025-09-09,5,Closed
T000257,D006,Vendor Request,High,2025-05-29,2025-05-30,3,Closed
T000258,D004,Payroll Issue,Critical,2024-09-14,2024-09-24,1,Closed
T000259,D001,Payroll Issue,Medium,2024-07-17,2024-07-19,5,Closed
T000260,D012,Payroll Issue,Medium,2024-09-17,2024-09-21,5,Closed
T000261,D012,IT Access,Medium,2026-02-20,2026-02-25,5,Closed
T000262,D006,System Support,Low,2024-07-16,2024-07-21,7,Closed
T000263,D007,System Support,High,2025-04-27,2025-04-30,3,Closed
T000264,D009,Onboarding,Low,2026-04-02,,7,In Progress
T000265,D001,System Support,Low,2026-01-17,2026-01-19,7,Closed
T000266,D011,IT Access,Low,2024-11-11,2024-11-17,7,Closed
T000267,D007,Vendor Request,Critical,2025-11-05,,1,In Progress
T000268,D002,Onboarding,High,2026-01-09,2026-01-17,3,Closed
T000269,D012,Payroll Issue,Medium,2025-03-16,2025-03-17,5,Closed
T000270,D012,System Support,Low,2026-01-19,2026-01-23,7,Closed
T000271,D005,Vendor Request,Low,2024-12-15,,7,In Progress
T000272,D011,Onboarding,High,2025-10-26,,3,In Progress
T000273,D010,System Support,Medium,2024-11-20,2024-11-24,5,Closed
T000274,D007,IT Access,Low,2025-10-01,2025-10-08,7,Closed
T000275,D002,IT Access,Critical,2024-09-24,2024-09-29,1,Closed
T000276,D010,Payroll Issue,High,2025-07-29,2025-07-29,3,Closed
T000277,D009,Payroll Issue,High,2025-12-19,2025-12-21,3,Closed
T000278,D012,Vendor Request,High,2025-01-31,2025-02-06,3,Closed
T000279,D003,IT Access,Critical,2024-08-06,2024-08-11,1,Closed
T000280,D012,Vendor Request,High,2024-07-17,2024-07-19,3,Closed
T000281,D004,IT Access,Low,2024-08-04,2024-08-08,7,Closed
T000282,D002,Onboarding,Critical,2024-11-23,,1,Open
T000283,D002,Onboarding,Low,2025-10-27,2025-11-03,7,Closed
T000284,D005,System Support,Medium,2025-08-18,,5,Open
T000285,D008,Benefits Question,High,2025-11-15,2025-11-19,3,Closed
T000286,D008,IT Access,Low,2025-10-03,2025-10-08,7,Closed
T000287,D001,Benefits Question,High,2024-07-05,,3,Open
T000288,D011,Benefits Question,Critical,2025-01-24,2025-01-26,1,Closed
T000289,D012,IT Access,Low,2024-08-21,2024-08-24,7,Closed
T000290,D001,Payroll Issue,Medium,2026-04-01,2026-04-03,5,Closed
T000291,D006,Benefits Question,Critical,2024-07-20,2024-07-28,1,Closed
T000292,D010,Benefits Question,Low,2024-07-11,,7,In Progress
T000293,D006,Benefits Question,Medium,2025-03-16,2025-03-20,5,Closed
T000294,D002,Vendor Request,Critical,2026-01-20,2026-01-23,1,Closed
T000295,D008,Benefits Question,Critical,2025-06-26,2025-06-28,1,Closed
T000296,D012,Vendor Request,Critical,2025-02-14,2025-02-18,1,Closed
T000297,D011,Payroll Issue,Low,2025-07-13,2025-07-16,7,Closed
T000298,D003,System Support,Low,2024-07-10,2024-07-15,7,Closed
T000299,D003,IT Access,Critical,2025-08-06,2025-08-13,1,Closed
T000300,D008,Onboarding,Critical,2025-03-26,2025-03-29,1,Closed
T000301,D010,Vendor Request,High,2025-02-02,2025-02-05,3,Closed
T000302,D010,IT Access,Medium,2026-02-25,2026-03-03,5,Closed
T000303,D008,IT Access,Critical,2024-06-07,2024-06-15,1,Closed
T000304,D001,IT Access,High,2024-10-03,2024-10-07,3,Closed
T000305,D001,System Support,Medium,2024-08-21,2024-08-24,5,Closed
T000306,D011,Benefits Question,Low,2024-07-15,2024-07-15,7,Closed
T000307,D007,System Support,Medium,2024-12-30,2025-01-01,5,Closed
T000308,D008,Benefits Question,Critical,2024-12-18,2024-12-24,1,Closed
T000309,D003,Onboarding,Low,2026-01-07,2026-01-14,7,Closed
T000310,D011,Payroll Issue,Critical,2025-07-30,2025-08-04,1,Closed
T000311,D008,Payroll Issue,Low,2025-01-07,2025-01-11,7,Closed
T000312,D008,Benefits Question,Medium,2025-08-21,2025-08-24,5,Closed
T000313,D006,Benefits Question,Low,2025-08-27,2025-09-07,7,Closed
T000314,D009,Payroll Issue,Critical,2024-06-22,,1,In Progress
T000315,D007,Payroll Issue,Low,2024-07-18,2024-07-21,7,Closed
T000316,D008,Vendor Request,Critical,2024-07-09,2024-07-11,1,Closed
T000317,D002,Vendor Request,Critical,2025-12-23,2025-12-25,1,Closed
T000318,D006,IT Access,Critical,2026-04-25,2026-04-28,1,Closed
T000319,D002,Vendor Request,Critical,2025-08-14,2025-08-15,1,Closed
T000320,D001,Onboarding,Low,2025-07-09,2025-07-11,7,Closed
T000321,D010,Onboarding,High,2024-06-23,2024-07-01,3,Closed
T000322,D009,Payroll Issue,Critical,2026-04-09,2026-04-12,1,Closed
T000323,D006,Benefits Question,Low,2025-03-10,2025-03-12,7,Closed
T000324,D004,Vendor Request,High,2026-02-03,2026-02-07,3,Closed
T000325,D009,Onboarding,Critical,2025-09-15,,1,Open
T000326,D012,Vendor Request,Low,2026-01-18,,7,Open
T000327,D002,System Support,Medium,2025-03-10,,5,Open
T000328,D001,Benefits Question,High,2024-08-06,2024-08-08,3,Closed
T000329,D011,Benefits Question,High,2024-12-26,2024-12-26,3,Closed
T000330,D012,IT Access,Low,2024-12-20,2024-12-26,7,Closed
T000331,D008,Payroll Issue,Critical,2026-05-21,2026-05-23,1,Closed
T000332,D002,Benefits Question,Medium,2025-11-11,2025-11-12,5,Closed
T000333,D004,IT Access,Critical,2025-07-19,2025-07-25,1,Closed
T000334,D008,Payroll Issue,High,2024-11-07,2024-11-08,3,Closed
T000335,D002,Vendor Request,Low,2024-09-07,,7,Open
T000336,D011,System Support,Low,2024-09-25,2024-09-30,7,Closed
T000337,D008,Vendor Request,Medium,2025-04-29,2025-04-29,5,Closed
T000338,D008,IT Access,Low,2025-06-30,2025-07-07,7,Closed
T000339,D007,Onboarding,Critical,2025-05-26,2025-05-31,1,Closed
T000340,D003,System Support,Medium,2026-04-21,2026-04-25,5,Closed
T000341,D012,Payroll Issue,Low,2024-10-31,2024-10-31,7,Closed
T000342,D007,System Support,High,2025-03-24,2025-03-26,3,Closed
T000343,D009,Vendor Request,Critical,2024-12-14,,1,Open
T000344,D010,System Support,Medium,2026-02-16,2026-02-18,5,Closed
T000345,D005,Vendor Request,High,2026-03-15,2026-03-16,3,Closed
T000346,D005,Vendor Request,Medium,2026-02-25,2026-03-02,5,Closed
T000347,D003,Vendor Request,High,2026-01-27,,3,Open
T000348,D012,Onboarding,High,2024-11-26,2024-12-04,3,Closed
T000349,D011,Payroll Issue,Medium,2024-06-27,2024-06-30,5,Closed
T000350,D004,Onboarding,High,2024-11-28,2024-12-01,3,Closed
T000351,D011,Payroll Issue,Medium,2025-11-11,2025-11-11,5,Closed
T000352,D009,Onboarding,High,2025-11-30,2025-12-03,3,Closed
T000353,D006,Onboarding,Critical,2024-06-20,2024-06-30,1,Closed
T000354,D010,System Support,Critical,2025-12-17,2025-12-18,1,Closed
T000355,D011,System Support,High,2026-03-03,2026-03-06,3,Closed
T000356,D007,IT Access,Low,2024-11-17,2024-11-21,7,Closed
T000357,D007,Payroll Issue,Low,2024-08-29,2024-08-31,7,Closed
T000358,D011,IT Access,Medium,2024-12-29,,5,In Progress
T000359,D003,Benefits Question,High,2025-03-30,2025-04-02,3,Closed
T000360,D003,IT Access,High,2025-01-11,2025-01-15,3,Closed
T000361,D009,IT Access,High,2025-01-26,2025-02-01,3,Closed
T000362,D002,Onboarding,Medium,2024-11-23,2024-11-29,5,Closed
T000363,D007,Payroll Issue,High,2026-05-12,2026-05-19,3,Closed
T000364,D012,System Support,Low,2026-04-27,2026-04-30,7,Closed
T000365,D007,Vendor Request,Critical,2024-11-08,2024-11-13,1,Closed
T000366,D011,Benefits Question,Low,2024-12-21,,7,In Progress
T000367,D001,System Support,High,2025-05-06,,3,In Progress
T000368,D004,Onboarding,Critical,2026-01-07,2026-01-11,1,Closed
T000369,D011,System Support,High,2025-07-13,2025-07-14,3,Closed
T000370,D010,Onboarding,Medium,2026-02-03,2026-02-07,5,Closed
T000371,D005,Vendor Request,Medium,2025-05-07,2025-05-08,5,Closed
T000372,D011,IT Access,Medium,2025-09-13,2025-09-17,5,Closed
T000373,D012,Onboarding,Low,2025-04-02,2025-04-09,7,Closed
T000374,D001,Vendor Request,High,2025-11-23,,3,Open
T000375,D009,Benefits Question,Medium,2025-08-30,2025-09-03,5,Closed
T000376,D003,Onboarding,High,2026-01-31,2026-02-01,3,Closed
T000377,D006,Vendor Request,Medium,2026-02-08,2026-02-10,5,Closed
T000378,D001,Payroll Issue,High,2026-03-02,2026-03-07,3,Closed
T000379,D010,IT Access,High,2024-11-27,2024-12-04,3,Closed
T000380,D010,Onboarding,High,2026-04-26,2026-05-01,3,Closed
T000381,D012,Benefits Question,Medium,2026-05-07,,5,In Progress
T000382,D003,Onboarding,Low,2024-12-05,2024-12-13,7,Closed
T000383,D003,Vendor Request,Critical,2025-01-25,,1,In Progress
T000384,D002,Benefits Question,Medium,2025-03-27,2025-03-30,5,Closed
T000385,D004,System Support,High,2024-09-02,2024-09-04,3,Closed
T000386,D006,Benefits Question,High,2024-10-22,,3,Open
T000387,D004,Onboarding,Critical,2024-08-07,2024-08-15,1,Closed
T000388,D011,IT Access,Low,2024-09-09,2024-09-16,7,Closed
T000389,D008,Payroll Issue,Medium,2024-10-20,,5,Open
T000390,D001,System Support,High,2025-02-13,2025-02-18,3,Closed
T000391,D007,IT Access,Critical,2024-12-20,2024-12-24,1,Closed
T000392,D009,System Support,High,2026-04-03,2026-04-03,3,Closed
T000393,D001,Onboarding,High,2024-12-20,2024-12-27,3,Closed
T000394,D009,Vendor Request,Critical,2025-08-03,2025-08-03,1,Closed
T000395,D001,Benefits Question,Medium,2026-02-02,2026-02-02,5,Closed
