payroll_id,employee_id,pay_period,base_pay,overtime_pay,bonus_pay,total_compensation,pay_year,pay_month,pay_month_name,pay_year_month,overtime_flag
P000024,E0001,2025-12-01,5126.25,163.4,0,5289.65,2025,12,Dec,2025-12,1
P000025,E0002,2024-01-01,7738.0,370.38,0,8108.38,2024,1,Jan,2024-01,1
P000026,E0002,2024-02-01,7738.0,188.18,0,7926.18,2024,2,Feb,2024-02,1
P000027,E0002,2024-03-01,7738.0,140.95,500,8378.95,2024,3,Mar,2024-03,1
P000028,E0002,2024-04-01,7738.0,435.89,0,8173.89,2024,4,Apr,2024-04,1
P000029,E0002,2024-05-01,7738.0,378.88,0,8116.88,2024,5,May,2024-05,1
P000030,E0002,2024-06-01,7738.0,113.32,0,7851.32,2024,6,Jun,2024-06,1
P000031,E0002,2024-07-01,7738.0,210.7,0,7948.7,2024,7,Jul,2024-07,1
P000032,E0002,2024-08-01,7738.0,363.34,0,8101.34,2024,8,Aug,2024-08,1
P000033,E0002,2024-09-01,7738.0,152.49,250,8140.49,2024,9,Sep,2024-09,1
P000034,E0002,2024-10-01,7738.0,143.76,0,7881.76,2024,10,Oct,2024-10,1
P000035,E0002,2024-11-01,7738.0,719.89,250,8707.89,2024,11,Nov,2024-11,1
P000036,E0002,2024-12-01,7738.0,76.02,0,7814.02,2024,12,Dec,2024-12,1
P000037,E0002,2025-01-01,7738.0,187.91,0,7925.91,2025,1,Jan,2025-01,1
P000038,E0002,2025-02-01,7738.0,278.59,0,8016.59,2025,2,Feb,2025-02,1
P000039,E0002,2025-03-01,7738.0,172.39,0,7910.39,2025,3,Mar,2025-03,1
P000040,E0002,2025-04-01,7738.0,394.87,0,8132.87,2025,4,Apr,2025-04,1
P000041,E0002,2025-05-01,7738.0,303.91,0,8041.91,2025,5,May,2025-05,1
P000042,E0002,2025-06-01,7738.0,254.84,250,8242.84,2025,6,Jun,2025-06,1
P000043,E0002,2025-07-01,7738.0,227.25,0,7965.25,2025,7,Jul,2025-07,1
P000044,E0002,2025-08-01,7738.0,481.44,250,8469.44,2025,8,Aug,2025-08,1
P000045,E0002,2025-09-01,7738.0,18.49,250,8006.49,2025,9,Sep,2025-09,1
P000046,E0002,2025-10-01,7738.0,119.84,0,7857.84,2025,10,Oct,2025-10,1
P000047,E0002,2025-11-01,7738.0,360.54,0,8098.54,2025,11,Nov,2025-11,1
P000048,E0002,2025-12-01,7738.0,297.22,0,8035.22,2025,12,Dec,2025-12,1
P000049,E0003,2024-01-01,4259.58,569.14,0,4828.73,2024,1,Jan,2024-01,1
P000050,E0003,2024-02-01,4259.58,154.11,250,4663.69,2024,2,Feb,2024-02,1
P000051,E0003,2024-03-01,4259.58,269.29,0,4528.88,2024,3,Mar,2024-03,1
P000052,E0003,2024-04-01,4259.58,196.28,0,4455.86,2024,4,Apr,2024-04,1
P000053,E0003,2024-05-01,4259.58,136.31,250,4645.89,2024,5,May,2024-05,1
P000054,E0003,2024-06-01,4259.58,232.81,250,4742.39,2024,6,Jun,2024-06,1
P000055,E0003,2024-07-01,4259.58,367.62,0,4627.21,2024,7,Jul,2024-07,1
P000056,E0003,2024-08-01,4259.58,55.55,0,4315.14,2024,8,Aug,2024-08,1
P000057,E0003,2024-09-01,4259.58,290.65,0,4550.23,2024,9,Sep,2024-09,1
P000058,E0003,2024-10-01,4259.58,229.13,0,4488.71,2024,10,Oct,2024-10,1
P000059,E0003,2024-11-01,4259.58,270.44,0,4530.03,2024,11,Nov,2024-11,1
P000060,E0003,2024-12-01,4259.58,164.9,0,4424.49,2024,12,Dec,2024-12,1
P000061,E0003,2025-01-01,4259.58,425.2,0,4684.79,2025,1,Jan,2025-01,1
P000062,E0003,2025-02-01,4259.58,181.92,0,4441.51,2025,2,Feb,2025-02,1
P000063,E0003,2025-03-01,4259.58,128.0,500,4887.59,2025,3,Mar,2025-03,1
P000064,E0003,2025-04-01,4259.58,186.3,250,4695.88,2025,4,Apr,2025-04,1
P000065,E0003,2025-05-01,4259.58,290.49,250,4800.07,2025,5,May,2025-05,1
P000066,E0003,2025-06-01,4259.58,162.43,500,4922.01,2025,6,Jun,2025-06,1
P000067,E0003,2025-07-01,4259.58,87.27,0,4346.85,2025,7,Jul,2025-07,1
P000068,E0003,2025-08-01,4259.58,419.82,0,4679.41,2025,8,Aug,2025-08,1
P000069,E0003,2025-09-01,4259.58,262.47,0,4522.05,2025,9,Sep,2025-09,1
P000070,E0003,2025-10-01,4259.58,641.31,0,4900.89,2025,10,Oct,2025-10,1
P000071,E0003,2025-11-01,4259.58,351.29,0,4610.87,2025,11,Nov,2025-11,1
P000072,E0003,2025-12-01,4259.58,39.56,0,4299.15,2025,12,Dec,2025-12,1
P000073,E0004,2024-01-01,4654.0,386.3,0,5040.3,2024,1,Jan,2024-01,1
P000074,E0004,2024-02-01,4654.0,599.29,0,5253.29,2024,2,Feb,2024-02,1
P000075,E0004,2024-03-01,4654.0,211.05,250,5115.05,2024,3,Mar,2024-03,1
P000076,E0004,2024-04-01,4654.0,439.4,0,5093.4,2024,4,Apr,2024-04,1
P000077,E0004,2024-05-01,4654.0,392.31,0,5046.31,2024,5,May,2024-05,1
P000078,E0004,2024-06-01,4654.0,288.11,0,4942.11,2024,6,Jun,2024-06,1
P000079,E0004,2024-07-01,4654.0,114.82,0,4768.82,2024,7,Jul,2024-07,1
P000080,E0004,2024-08-01,4654.0,29.33,0,4683.33,2024,8,Aug,2024-08,1
P000081,E0004,2024-09-01,4654.0,568.18,0,5222.18,2024,9,Sep,2024-09,1
P000082,E0004,2024-10-01,4654.0,480.69,0,5134.69,2024,10,Oct,2024-10,1
P000083,E0004,2024-11-01,4654.0,164.25,0,4818.25,2024,11,Nov,2024-11,1
P000084,E0004,2024-12-01,4654.0,95.74,0,4749.74,2024,12,Dec,2024-12,1
P000085,E0004,2025-01-01,4654.0,206.83,0,4860.83,2025,1,Jan,2025-01,1
P000086,E0004,2025-02-01,4654.0,594.29,0,5248.29,2025,2,Feb,2025-02,1
P000087,E0004,2025-03-01,4654.0,119.41,0,4773.41,2025,3,Mar,2025-03,1
P000088,E0004,2025-04-01,4654.0,194.32,0,4848.32,2025,4,Apr,2025-04,1
P000089,E0004,2025-05-01,4654.0,51.67,0,4705.67,2025,5,May,2025-05,1
P000090,E0004,2025-06-01,4654.0,187.4,0,4841.4,2025,6,Jun,2025-06,1
P000091,E0004,2025-07-01,4654.0,155.82,0,4809.82,2025,7,Jul,2025-07,1
P000092,E0004,2025-08-01,4654.0,104.64,0,4758.64,2025,8,Aug,2025-08,1
P000093,E0004,2025-09-01,4654.0,176.2,0,4830.2,2025,9,Sep,2025-09,1
P000094,E0004,2025-10-01,4654.0,323.07,0,4977.07,2025,10,Oct,2025-10,1
P000095,E0004,2025-11-01,4654.0,417.29,0,5071.29,2025,11,Nov,2025-11,1
P000096,E0004,2025-12-01,4654.0,203.32,0,4857.32,2025,12,Dec,2025-12,1
P000097,E0005,2024-01-01,5171.25,109.1,0,5280.35,2024,1,Jan,2024-01,1
P000098,E0005,2024-02-01,5171.25,45.21,0,5216.46,2024,2,Feb,2024-02,1
P000099,E0005,2024-03-01,5171.25,41.44,500,5712.69,2024,3,Mar,2024-03,1
P000100,E0005,2024-04-01,5171.25,373.17,0,5544.42,2024,4,Apr,2024-04,1
P000101,E0005,2024-05-01,5171.25,134.11,0,5305.36,2024,5,May,2024-05,1
P000102,E0005,2024-06-01,5171.25,223.61,0,5394.86,2024,6,Jun,2024-06,1
P000103,E0005,2024-07-01,5171.25,161.22,0,5332.47,2024,7,Jul,2024-07,1
P000104,E0005,2024-08-01,5171.25,91.27,0,5262.52,2024,8,Aug,2024-08,1
P000105,E0005,2024-09-01,5171.25,180.35,0,5351.6,2024,9,Sep,2024-09,1
P000106,E0005,2024-10-01,5171.25,212.14,0,5383.39,2024,10,Oct,2024-10,1
P000107,E0005,2024-11-01,5171.25,74.17,0,5245.42,2024,11,Nov,2024-11,1
P000108,E0005,2024-12-01,5171.25,507.88,500,6179.13,2024,12,Dec,2024-12,1
P000109,E0005,2025-01-01,5171.25,386.98,0,5558.23,2025,1,Jan,2025-01,1
P000110,E0005,2025-02-01,5171.25,247.86,0,5419.11,2025,2,Feb,2025-02,1
P000111,E0005,2025-03-01,5171.25,69.99,0,5241.24,2025,3,Mar,2025-03,1
P000112,E0005,2025-04-01,5171.25,217.29,0,5388.54,2025,4,Apr,2025-04,1
P000113,E0005,2025-05-01,5171.25,126.47,0,5297.72,2025,5,May,2025-05,1
P000114,E0005,2025-06-01,5171.25,214.73,0,5385.98,2025,6,Jun,2025-06,1
P000115,E0005,2025-07-01,5171.25,390.92,0,5562.17,2025,7,Jul,2025-07,1
P000116,E0005,2025-08-01,5171.25,273.75,0,5445.0,2025,8,Aug,2025-08,1
P000117,E0005,2025-09-01,5171.25,398.5,0,5569.75,2025,9,Sep,2025-09,1
P000118,E0005,2025-10-01,5171.25,113.06,250,5534.31,2025,10,Oct,2025-10,1
P000119,E0005,2025-11-01,5171.25,179.91,0,5351.16,2025,11,Nov,2025-11,1
P000120,E0005,2025-12-01,5171.25,353.74,0,5524.99,2025,12,Dec,2025-12,1
P000121,E0006,2024-01-01,3753.25,812.79,0,4566.04,2024,1,Jan,2024-01,1
P000122,E0006,2024-02-01,3753.25,860.5,0,4613.75,2024,2,Feb,2024-02,1
P000123,E0006,2024-03-01,3753.25,311.95,0,4065.2,2024,3,Mar,2024-03,1
P000124,E0006,2024-04-01,3753.25,693.46,0,4446.71,2024,4,Apr,2024-04,1
P000125,E0006,2024-05-01,3753.25,249.88,0,4003.13,2024,5,May,2024-05,1
P000126,E0006,2024-06-01,3753.25,338.61,0,4091.86,2024,6,Jun,2024-06,1
P000127,E0006,2024-07-01,3753.25,243.08,0,3996.33,2024,7,Jul,2024-07,1
P000128,E0006,2024-08-01,3753.25,385.93,0,4139.18,2024,8,Aug,2024-08,1
P000129,E0006,2024-09-01,3753.25,139.53,0,3892.78,2024,9,Sep,2024-09,1
P000130,E0006,2024-10-01,3753.25,147.11,0,3900.36,2024,10,Oct,2024-10,1
P000131,E0006,2024-11-01,3753.25,298.04,0,4051.29,2024,11,Nov,2024-11,1
P000132,E0006,2024-12-01,3753.25,371.74,0,4124.99,2024,12,Dec,2024-12,1
P000133,E0006,2025-01-01,3753.25,475.22,1000,5228.47,2025,1,Jan,2025-01,1
P000134,E0006,2025-02-01,3753.25,87.47,0,3840.72,2025,2,Feb,2025-02,1
P000135,E0006,2025-03-01,3753.25,93.61,0,3846.86,2025,3,Mar,2025-03,1
P000136,E0006,2025-04-01,3753.25,1112.01,0,4865.26,2025,4,Apr,2025-04,1
P000137,E0006,2025-05-01,3753.25,482.73,0,4235.98,2025,5,May,2025-05,1
P000138,E0006,2025-06-01,3753.25,122.63,0,3875.88,2025,6,Jun,2025-06,1
P000139,E0006,2025-07-01,3753.25,187.38,0,3940.63,2025,7,Jul,2025-07,1
P000140,E0006,2025-08-01,3753.25,349.08,0,4102.33,2025,8,Aug,2025-08,1
P000141,E0006,2025-09-01,3753.25,145.52,1000,4898.77,2025,9,Sep,2025-09,1
P000142,E0006,2025-10-01,3753.25,497.42,0,4250.67,2025,10,Oct,2025-10,1
P000143,E0006,2025-11-01,3753.25,748.42,0,4501.67,2025,11,Nov,2025-11,1
P000144,E0006,2025-12-01,3753.25,390.73,0,4143.98,2025,12,Dec,2025-12,1
P000145,E0007,2024-01-01,8564.17,124.31,500,9188.48,2024,1,Jan,2024-01,1
P000146,E0007,2024-02-01,8564.17,244.08,0,8808.25,2024,2,Feb,2024-02,1
P000147,E0007,2024-03-01,8564.17,618.32,0,9182.49,2024,3,Mar,2024-03,1
P000148,E0007,2024-04-01,8564.17,113.6,500,9177.77,2024,4,Apr,2024-04,1
P000149,E0007,2024-05-01,8564.17,368.06,0,8932.23,2024,5,May,2024-05,1
P000150,E0007,2024-06-01,8564.17,197.92,0,8762.09,2024,6,Jun,2024-06,1
P000151,E0007,2024-07-01,8564.17,266.8,0,8830.97,2024,7,Jul,2024-07,1
P000152,E0007,2024-08-01,8564.17,316.39,0,8880.56,2024,8,Aug,2024-08,1
P000153,E0007,2024-09-01,8564.17,107.37,0,8671.54,2024,9,Sep,2024-09,1
P000154,E0007,2024-10-01,8564.17,447.85,0,9012.01,2024,10,Oct,2024-10,1
P000155,E0007,2024-11-01,8564.17,152.22,0,8716.38,2024,11,Nov,2024-11,1
P000156,E0007,2024-12-01,8564.17,440.42,0,9004.59,2024,12,Dec,2024-12,1
P000157,E0007,2025-01-01,8564.17,169.97,0,8734.14,2025,1,Jan,2025-01,1
P000158,E0007,2025-02-01,8564.17,231.29,0,8795.46,2025,2,Feb,2025-02,1
P000159,E0007,2025-03-01,8564.17,429.58,0,8993.75,2025,3,Mar,2025-03,1
P000160,E0007,2025-04-01,8564.17,385.63,0,8949.8,2025,4,Apr,2025-04,1
P000161,E0007,2025-05-01,8564.17,117.77,500,9181.94,2025,5,May,2025-05,1
P000162,E0007,2025-06-01,8564.17,365.56,1000,9929.73,2025,6,Jun,2025-06,1
P000163,E0007,2025-07-01,8564.17,386.98,0,8951.14,2025,7,Jul,2025-07,1
P000164,E0007,2025-08-01,8564.17,290.48,250,9104.65,2025,8,Aug,2025-08,1
P000165,E0007,2025-09-01,8564.17,116.17,0,8680.34,2025,9,Sep,2025-09,1
P000166,E0007,2025-10-01,8564.17,274.65,0,8838.82,2025,10,Oct,2025-10,1
P000167,E0007,2025-11-01,8564.17,259.54,0,8823.7,2025,11,Nov,2025-11,1
P000168,E0007,2025-12-01,8564.17,415.81,0,8979.98,2025,12,Dec,2025-12,1
P000169,E0008,2024-01-01,3618.58,112.58,0,3731.16,2024,1,Jan,2024-01,1
P000170,E0008,2024-02-01,3618.58,178.44,500,4297.02,2024,2,Feb,2024-02,1
P000171,E0008,2024-03-01,3618.58,26.7,0,3645.28,2024,3,Mar,2024-03,1
P000172,E0008,2024-04-01,3618.58,234.9,0,3853.48,2024,4,Apr,2024-04,1
P000173,E0008,2024-05-01,3618.58,40.03,0,3658.61,2024,5,May,2024-05,1
P000174,E0008,2024-06-01,3618.58,103.58,500,4222.16,2024,6,Jun,2024-06,1
P000175,E0008,2024-07-01,3618.58,357.99,0,3976.57,2024,7,Jul,2024-07,1
P000176,E0008,2024-08-01,3618.58,171.45,0,3790.03,2024,8,Aug,2024-08,1
P000177,E0008,2024-09-01,3618.58,209.43,0,3828.01,2024,9,Sep,2024-09,1
P000178,E0008,2024-10-01,3618.58,246.12,250,4114.71,2024,10,Oct,2024-10,1
P000179,E0008,2024-11-01,3618.58,229.86,0,3848.44,2024,11,Nov,2024-11,1
P000180,E0008,2024-12-01,3618.58,72.98,250,3941.57,2024,12,Dec,2024-12,1
P000181,E0008,2025-01-01,3618.58,347.3,0,3965.88,2025,1,Jan,2025-01,1
P000182,E0008,2025-02-01,3618.58,69.08,0,3687.66,2025,2,Feb,2025-02,1
P000183,E0008,2025-03-01,3618.58,210.28,0,3828.87,2025,3,Mar,2025-03,1
P000184,E0008,2025-04-01,3618.58,256.56,0,3875.14,2025,4,Apr,2025-04,1
P000185,E0008,2025-05-01,3618.58,86.2,0,3704.78,2025,5,May,2025-05,1
P000186,E0008,2025-06-01,3618.58,117.83,0,3736.41,2025,6,Jun,2025-06,1
P000187,E0008,2025-07-01,3618.58,202.39,250,4070.98,2025,7,Jul,2025-07,1
P000188,E0008,2025-08-01,3618.58,94.31,0,3712.89,2025,8,Aug,2025-08,1
P000189,E0008,2025-09-01,3618.58,429.96,250,4298.55,2025,9,Sep,2025-09,1
P000190,E0008,2025-10-01,3618.58,405.12,0,4023.71,2025,10,Oct,2025-10,1
P000191,E0008,2025-11-01,3618.58,113.79,0,3732.37,2025,11,Nov,2025-11,1
P000192,E0008,2025-12-01,3618.58,190.02,0,3808.6,2025,12,Dec,2025-12,1
P000193,E0009,2024-01-01,3840.83,690.88,0,4531.71,2024,1,Jan,2024-01,1
P000194,E0009,2024-02-01,3840.83,292.31,500,4633.14,2024,2,Feb,2024-02,1
P000195,E0009,2024-03-01,3840.83,98.31,500,4439.14,2024,3,Mar,2024-03,1
P000196,E0009,2024-04-01,3840.83,77.01,0,3917.84,2024,4,Apr,2024-04,1
P000197,E0009,2024-05-01,3840.83,412.88,0,4253.71,2024,5,May,2024-05,1
P000198,E0009,2024-06-01,3840.83,270.09,0,4110.92,2024,6,Jun,2024-06,1
P000199,E0009,2024-07-01,3840.83,181.26,0,4022.09,2024,7,Jul,2024-07,1
P000200,E0009,2024-08-01,3840.83,51.78,0,3892.61,2024,8,Aug,2024-08,1
P000201,E0009,2024-09-01,3840.83,51.03,250,4141.86,2024,9,Sep,2024-09,1
P000202,E0009,2024-10-01,3840.83,144.63,0,3985.46,2024,10,Oct,2024-10,1
P000203,E0009,2024-11-01,3840.83,284.45,0,4125.29,2024,11,Nov,2024-11,1
P000204,E0009,2024-12-01,3840.83,391.28,0,4232.11,2024,12,Dec,2024-12,1
P000205,E0009,2025-01-01,3840.83,565.07,0,4405.9,2025,1,Jan,2025-01,1
P000206,E0009,2025-02-01,3840.83,417.08,0,4257.92,2025,2,Feb,2025-02,1
P000207,E0009,2025-03-01,3840.83,54.07,250,4144.9,2025,3,Mar,2025-03,1
P000208,E0009,2025-04-01,3840.83,92.44,0,3933.27,2025,4,Apr,2025-04,1
P000209,E0009,2025-05-01,3840.83,51.28,0,3892.11,2025,5,May,2025-05,1
P000210,E0009,2025-06-01,3840.83,44.55,0,3885.38,2025,6,Jun,2025-06,1
P000211,E0009,2025-07-01,3840.83,70.75,0,3911.59,2025,7,Jul,2025-07,1
P000212,E0009,2025-08-01,3840.83,346.58,0,4187.41,2025,8,Aug,2025-08,1
P000213,E0009,2025-09-01,3840.83,10.78,500,4351.62,2025,9,Sep,2025-09,1
P000214,E0009,2025-10-01,3840.83,703.78,0,4544.61,2025,10,Oct,2025-10,1
P000215,E0009,2025-11-01,3840.83,235.42,0,4076.25,2025,11,Nov,2025-11,1
P000216,E0009,2025-12-01,3840.83,165.39,0,4006.22,2025,12,Dec,2025-12,1
P000217,E0010,2024-01-01,6090.75,462.57,0,6553.32,2024,1,Jan,2024-01,1
P000218,E0010,2024-02-01,6090.75,34.51,0,6125.26,2024,2,Feb,2024-02,1
P000219,E0010,2024-03-01,6090.75,484.53,0,6575.28,2024,3,Mar,2024-03,1
P000220,E0010,2024-04-01,6090.75,645.67,0,6736.42,2024,4,Apr,2024-04,1
P000221,E0010,2024-05-01,6090.75,648.55,0,6739.3,2024,5,May,2024-05,1
P000222,E0010,2024-06-01,6090.75,211.1,0,6301.85,2024,6,Jun,2024-06,1
P000223,E0010,2024-07-01,6090.75,200.39,0,6291.14,2024,7,Jul,2024-07,1
P000224,E0010,2024-08-01,6090.75,590.56,0,6681.31,2024,8,Aug,2024-08,1
P000225,E0010,2024-09-01,6090.75,416.21,0,6506.96,2024,9,Sep,2024-09,1
P000226,E0010,2024-10-01,6090.75,514.43,0,6605.18,2024,10,Oct,2024-10,1
P000227,E0010,2024-11-01,6090.75,164.27,250,6505.02,2024,11,Nov,2024-11,1
P000228,E0010,2024-12-01,6090.75,117.54,0,6208.29,2024,12,Dec,2024-12,1
P000229,E0010,2025-01-01,6090.75,1115.25,500,7706.0,2025,1,Jan,2025-01,1
P000230,E0010,2025-02-01,6090.75,323.93,0,6414.68,2025,2,Feb,2025-02,1
P000231,E0010,2025-03-01,6090.75,58.22,0,6148.97,2025,3,Mar,2025-03,1
P000232,E0010,2025-04-01,6090.75,148.55,0,6239.3,2025,4,Apr,2025-04,1
P000233,E0010,2025-05-01,6090.75,353.64,0,6444.39,2025,5,May,2025-05,1
P000234,E0010,2025-06-01,6090.75,257.25,250,6598.0,2025,6,Jun,2025-06,1
P000235,E0010,2025-07-01,6090.75,473.71,0,6564.46,2025,7,Jul,2025-07,1
P000236,E0010,2025-08-01,6090.75,249.53,0,6340.28,2025,8,Aug,2025-08,1
P000237,E0010,2025-09-01,6090.75,374.82,0,6465.57,2025,9,Sep,2025-09,1
P000238,E0010,2025-10-01,6090.75,555.43,500,7146.18,2025,10,Oct,2025-10,1
P000239,E0010,2025-11-01,6090.75,526.35,500,7117.1,2025,11,Nov,2025-11,1
P000240,E0010,2025-12-01,6090.75,415.05,0,6505.8,2025,12,Dec,2025-12,1
P000241,E0011,2024-01-01,5570.83,255.94,0,5826.77,2024,1,Jan,2024-01,1
P000242,E0011,2024-02-01,5570.83,226.29,0,5797.12,2024,2,Feb,2024-02,1
P000243,E0011,2024-03-01,5570.83,206.48,500,6277.31,2024,3,Mar,2024-03,1
P000244,E0011,2024-04-01,5570.83,204.16,0,5775.0,2024,4,Apr,2024-04,1
P000245,E0011,2024-05-01,5570.83,302.36,0,5873.2,2024,5,May,2024-05,1
P000246,E0011,2024-06-01,5570.83,84.97,0,5655.8,2024,6,Jun,2024-06,1
P000247,E0011,2024-07-01,5570.83,358.3,0,5929.14,2024,7,Jul,2024-07,1
P000248,E0011,2024-08-01,5570.83,199.02,0,5769.85,2024,8,Aug,2024-08,1
P000249,E0011,2024-09-01,5570.83,552.78,500,6623.61,2024,9,Sep,2024-09,1
P000250,E0011,2024-10-01,5570.83,314.05,0,5884.88,2024,10,Oct,2024-10,1
P000251,E0011,2024-11-01,5570.83,60.76,0,5631.59,2024,11,Nov,2024-11,1
P000252,E0011,2024-12-01,5570.83,177.1,0,5747.94,2024,12,Dec,2024-12,1
P000253,E0011,2025-01-01,5570.83,92.96,0,5663.79,2025,1,Jan,2025-01,1
P000254,E0011,2025-02-01,5570.83,104.06,1000,6674.89,2025,2,Feb,2025-02,1
P000255,E0011,2025-03-01,5570.83,42.25,0,5613.08,2025,3,Mar,2025-03,1
P000256,E0011,2025-04-01,5570.83,55.68,500,6126.51,2025,4,Apr,2025-04,1
P000257,E0011,2025-05-01,5570.83,27.81,0,5598.64,2025,5,May,2025-05,1
P000258,E0011,2025-06-01,5570.83,400.21,0,5971.04,2025,6,Jun,2025-06,1
P000259,E0011,2025-07-01,5570.83,64.93,500,6135.76,2025,7,Jul,2025-07,1
P000260,E0011,2025-08-01,5570.83,335.91,0,5906.75,2025,8,Aug,2025-08,1
P000261,E0011,2025-09-01,5570.83,143.34,0,5714.17,2025,9,Sep,2025-09,1
P000262,E0011,2025-10-01,5570.83,326.28,0,5897.11,2025,10,Oct,2025-10,1
P000263,E0011,2025-11-01,5570.83,569.71,0,6140.55,2025,11,Nov,2025-11,1
P000264,E0011,2025-12-01,5570.83,216.61,500,6287.44,2025,12,Dec,2025-12,1
P000265,E0012,2024-01-01,3689.92,172.11,0,3862.03,2024,1,Jan,2024-01,1
P000266,E0012,2024-02-01,3689.92,379.45,0,4069.37,2024,2,Feb,2024-02,1
P000267,E0012,2024-03-01,3689.92,61.96,250,4001.87,2024,3,Mar,2024-03,1
P000268,E0012,2024-04-01,3689.92,261.79,0,3951.7,2024,4,Apr,2024-04,1
P000269,E0012,2024-05-01,3689.92,232.43,0,3922.35,2024,5,May,2024-05,1
P000270,E0012,2024-06-01,3689.92,407.52,0,4097.43,2024,6,Jun,2024-06,1
P000271,E0012,2024-07-01,3689.92,338.07,0,4027.99,2024,7,Jul,2024-07,1
P000272,E0012,2024-08-01,3689.92,123.73,0,3813.65,2024,8,Aug,2024-08,1
P000273,E0012,2024-09-01,3689.92,36.98,0,3726.89,2024,9,Sep,2024-09,1
P000274,E0012,2024-10-01,3689.92,327.12,1000,5017.04,2024,10,Oct,2024-10,1
P000275,E0012,2024-11-01,3689.92,7.82,0,3697.74,2024,11,Nov,2024-11,1
P000276,E0012,2024-12-01,3689.92,79.11,0,3769.03,2024,12,Dec,2024-12,1
P000277,E0012,2025-01-01,3689.92,104.96,0,3794.87,2025,1,Jan,2025-01,1
P000278,E0012,2025-02-01,3689.92,454.09,0,4144.0,2025,2,Feb,2025-02,1
P000279,E0012,2025-03-01,3689.92,355.95,0,4045.87,2025,3,Mar,2025-03,1
P000280,E0012,2025-04-01,3689.92,365.84,0,4055.75,2025,4,Apr,2025-04,1
P000281,E0012,2025-05-01,3689.92,303.91,250,4243.82,2025,5,May,2025-05,1
P000282,E0012,2025-06-01,3689.92,522.08,0,4212.0,2025,6,Jun,2025-06,1
P000283,E0012,2025-07-01,3689.92,34.35,0,3724.27,2025,7,Jul,2025-07,1
P000284,E0012,2025-08-01,3689.92,284.02,500,4473.93,2025,8,Aug,2025-08,1
P000285,E0012,2025-09-01,3689.92,124.12,0,3814.04,2025,9,Sep,2025-09,1
P000286,E0012,2025-10-01,3689.92,41.05,0,3730.96,2025,10,Oct,2025-10,1
P000287,E0012,2025-11-01,3689.92,349.71,0,4039.62,2025,11,Nov,2025-11,1
P000288,E0012,2025-12-01,3689.92,225.33,0,3915.25,2025,12,Dec,2025-12,1
P000289,E0013,2024-01-01,5373.5,154.32,0,5527.82,2024,1,Jan,2024-01,1
P000290,E0013,2024-02-01,5373.5,626.94,250,6250.44,2024,2,Feb,2024-02,1
P000291,E0013,2024-03-01,5373.5,360.15,0,5733.65,2024,3,Mar,2024-03,1
P000292,E0013,2024-04-01,5373.5,118.81,1000,6492.31,2024,4,Apr,2024-04,1
P000293,E0013,2024-05-01,5373.5,276.11,0,5649.61,2024,5,May,2024-05,1
P000294,E0013,2024-06-01,5373.5,346.57,0,5720.07,2024,6,Jun,2024-06,1
P000295,E0013,2024-07-01,5373.5,74.07,0,5447.57,2024,7,Jul,2024-07,1
