ticket_id,department_id,request_type,priority,opened_date,closed_date,sla_target_days,status,closed_flag,resolution_days,sla_missed_flag,sla_met_flag,opened_year,opened_month,opened_year_month
T000056,D004,Payroll Issue,Medium,2026-01-08,2026-01-10,5,Closed,1,2.0,0,1,2026,1,2026-01
T000057,D007,Benefits Question,Low,2025-03-27,2025-03-27,7,Closed,1,0.0,0,1,2025,3,2025-03
T000058,D010,Onboarding,High,2026-05-13,2026-05-17,3,Closed,1,4.0,1,0,2026,5,2026-05
T000059,D001,IT Access,Medium,2025-01-14,2025-01-19,5,Closed,1,5.0,0,1,2025,1,2025-01
T000060,D003,IT Access,High,2025-07-28,2025-08-01,3,Closed,1,4.0,1,0,2025,7,2025-07
T000061,D001,Vendor Request,Low,2025-02-08,2025-02-09,7,Closed,1,1.0,0,1,2025,2,2025-02
T000062,D003,Onboarding,Critical,2025-09-24,2025-09-30,1,Closed,1,6.0,1,0,2025,9,2025-09
T000063,D008,IT Access,Critical,2024-09-24,2024-10-07,1,Closed,1,13.0,1,0,2024,9,2024-09
T000064,D003,Benefits Question,Medium,2025-01-21,,5,In Progress,0,0.0,0,0,2025,1,2025-01
T000065,D003,Benefits Question,High,2026-05-23,,3,In Progress,0,0.0,0,0,2026,5,2026-05
T000066,D008,Payroll Issue,Low,2024-10-11,2024-10-13,7,Closed,1,2.0,0,1,2024,10,2024-10
T000067,D010,Onboarding,Medium,2024-08-12,2024-08-20,5,Closed,1,8.0,1,0,2024,8,2024-08
T000068,D008,Vendor Request,Critical,2025-11-29,2025-11-30,1,Closed,1,1.0,0,1,2025,11,2025-11
T000069,D001,IT Access,High,2024-12-26,,3,Open,0,0.0,0,0,2024,12,2024-12
T000070,D003,Vendor Request,Medium,2025-12-15,2025-12-15,5,Closed,1,0.0,0,1,2025,12,2025-12
T000071,D011,Onboarding,Medium,2024-10-28,2024-11-05,5,Closed,1,8.0,1,0,2024,10,2024-10
T000072,D001,Vendor Request,High,2026-05-09,2026-05-12,3,Closed,1,3.0,0,1,2026,5,2026-05
T000073,D008,Onboarding,Critical,2025-05-16,,1,Open,0,0.0,0,0,2025,5,2025-05
T000074,D010,Onboarding,High,2024-11-17,2024-11-25,3,Closed,1,8.0,1,0,2024,11,2024-11
T000075,D005,Payroll Issue,Low,2026-01-02,2026-01-03,7,Closed,1,1.0,0,1,2026,1,2026-01
T000076,D006,Onboarding,Medium,2025-04-22,2025-04-26,5,Closed,1,4.0,0,1,2025,4,2025-04
T000077,D005,IT Access,Critical,2024-06-03,2024-06-12,1,Closed,1,9.0,1,0,2024,6,2024-06
T000078,D006,Onboarding,Medium,2024-09-12,2024-09-18,5,Closed,1,6.0,1,0,2024,9,2024-09
T000079,D002,Payroll Issue,Medium,2025-04-24,2025-04-26,5,Closed,1,2.0,0,1,2025,4,2025-04
T000080,D005,Onboarding,Low,2025-10-23,2025-10-30,7,Closed,1,7.0,0,1,2025,10,2025-10
T000081,D010,Vendor Request,High,2026-01-12,2026-01-14,3,Closed,1,2.0,0,1,2026,1,2026-01
T000082,D003,Payroll Issue,Medium,2025-06-20,2025-06-22,5,Closed,1,2.0,0,1,2025,6,2025-06
T000083,D010,Benefits Question,High,2025-02-11,2025-02-14,3,Closed,1,3.0,0,1,2025,2,2025-02
T000084,D010,IT Access,High,2025-06-15,2025-06-22,3,Closed,1,7.0,1,0,2025,6,2025-06
T000085,D010,Payroll Issue,Medium,2025-07-02,2025-07-05,5,Closed,1,3.0,0,1,2025,7,2025-07
T000086,D008,Onboarding,High,2024-11-19,2024-11-22,3,Closed,1,3.0,0,1,2024,11,2024-11
T000087,D008,IT Access,Low,2025-02-28,2025-03-04,7,Closed,1,4.0,0,1,2025,2,2025-02
T000088,D004,Onboarding,Medium,2025-07-23,,5,In Progress,0,0.0,0,0,2025,7,2025-07
T000089,D009,Vendor Request,Low,2026-05-26,2026-05-28,7,Closed,1,2.0,0,1,2026,5,2026-05
T000090,D006,Onboarding,Medium,2025-05-05,,5,In Progress,0,0.0,0,0,2025,5,2025-05
T000091,D006,System Support,Medium,2025-09-04,2025-09-09,5,Closed,1,5.0,0,1,2025,9,2025-09
T000092,D006,IT Access,Low,2025-06-19,2025-06-22,7,Closed,1,3.0,0,1,2025,6,2025-06
T000093,D010,System Support,Medium,2025-08-22,,5,In Progress,0,0.0,0,0,2025,8,2025-08
T000094,D002,Onboarding,High,2025-05-09,2025-05-12,3,Closed,1,3.0,0,1,2025,5,2025-05
T000095,D006,System Support,Critical,2025-08-31,2025-09-02,1,Closed,1,2.0,1,0,2025,8,2025-08
T000096,D010,IT Access,High,2026-05-28,2026-06-01,3,Closed,1,4.0,1,0,2026,5,2026-05
T000097,D006,Payroll Issue,Medium,2026-03-08,2026-03-08,5,Closed,1,0.0,0,1,2026,3,2026-03
T000098,D012,Vendor Request,Critical,2025-03-03,2025-03-10,1,Closed,1,7.0,1,0,2025,3,2025-03
T000099,D011,Benefits Question,Medium,2026-01-15,2026-01-24,5,Closed,1,9.0,1,0,2026,1,2026-01
T000100,D012,Onboarding,High,2024-11-09,,3,In Progress,0,0.0,0,0,2024,11,2024-11
T000101,D011,Onboarding,Medium,2025-02-24,2025-03-05,5,Closed,1,9.0,1,0,2025,2,2025-02
T000102,D005,System Support,High,2025-03-11,2025-03-16,3,Closed,1,5.0,1,0,2025,3,2025-03
T000103,D003,Payroll Issue,Low,2024-10-16,2024-10-17,7,Closed,1,1.0,0,1,2024,10,2024-10
T000104,D012,Onboarding,Critical,2025-03-25,2025-03-30,1,Closed,1,5.0,1,0,2025,3,2025-03
T000105,D001,Payroll Issue,High,2025-07-22,2025-07-25,3,Closed,1,3.0,0,1,2025,7,2025-07
T000106,D010,Payroll Issue,Low,2025-02-08,2025-02-11,7,Closed,1,3.0,0,1,2025,2,2025-02
T000107,D008,Payroll Issue,High,2025-11-18,,3,Open,0,0.0,0,0,2025,11,2025-11
T000108,D012,IT Access,Medium,2026-05-16,,5,In Progress,0,0.0,0,0,2026,5,2026-05
T000109,D006,Payroll Issue,Low,2024-07-27,2024-08-01,7,Closed,1,5.0,0,1,2024,7,2024-07
T000110,D012,System Support,High,2025-10-31,2025-11-06,3,Closed,1,6.0,1,0,2025,10,2025-10
T000111,D008,IT Access,High,2025-05-06,2025-05-13,3,Closed,1,7.0,1,0,2025,5,2025-05
T000112,D004,System Support,Low,2024-07-27,2024-07-29,7,Closed,1,2.0,0,1,2024,7,2024-07
T000113,D006,Benefits Question,Low,2025-12-03,2025-12-05,7,Closed,1,2.0,0,1,2025,12,2025-12
T000114,D012,IT Access,Low,2026-02-11,2026-02-18,7,Closed,1,7.0,0,1,2026,2,2026-02
T000115,D008,System Support,Critical,2025-08-27,2025-08-30,1,Closed,1,3.0,1,0,2025,8,2025-08
T000116,D003,Vendor Request,Critical,2025-07-04,2025-07-09,1,Closed,1,5.0,1,0,2025,7,2025-07
T000117,D007,Benefits Question,Critical,2024-12-21,2024-12-25,1,Closed,1,4.0,1,0,2024,12,2024-12
T000118,D002,Vendor Request,Medium,2025-08-02,2025-08-05,5,Closed,1,3.0,0,1,2025,8,2025-08
T000119,D003,Vendor Request,Low,2025-04-02,2025-04-07,7,Closed,1,5.0,0,1,2025,4,2025-04
T000120,D001,Benefits Question,Low,2024-10-24,2024-10-26,7,Closed,1,2.0,0,1,2024,10,2024-10
T000121,D006,Benefits Question,Low,2025-08-03,2025-08-08,7,Closed,1,5.0,0,1,2025,8,2025-08
T000122,D002,Benefits Question,Medium,2025-02-12,2025-02-13,5,Closed,1,1.0,0,1,2025,2,2025-02
T000123,D007,Payroll Issue,Low,2024-07-14,,7,Open,0,0.0,0,0,2024,7,2024-07
T000124,D009,IT Access,High,2025-01-09,2025-01-16,3,Closed,1,7.0,1,0,2025,1,2025-01
T000125,D010,Vendor Request,Low,2025-09-05,2025-09-07,7,Closed,1,2.0,0,1,2025,9,2025-09
T000126,D007,System Support,Medium,2024-08-27,2024-08-28,5,Closed,1,1.0,0,1,2024,8,2024-08
T000127,D010,Vendor Request,Medium,2025-04-30,,5,Open,0,0.0,0,0,2025,4,2025-04
T000128,D001,IT Access,High,2025-04-01,2025-04-07,3,Closed,1,6.0,1,0,2025,4,2025-04
T000129,D004,Vendor Request,High,2026-01-13,2026-01-16,3,Closed,1,3.0,0,1,2026,1,2026-01
T000130,D011,Benefits Question,High,2026-01-16,2026-01-17,3,Closed,1,1.0,0,1,2026,1,2026-01
T000131,D004,IT Access,Low,2025-05-09,,7,In Progress,0,0.0,0,0,2025,5,2025-05
T000132,D010,Onboarding,Critical,2026-03-06,2026-03-10,1,Closed,1,4.0,1,0,2026,3,2026-03
T000133,D001,Benefits Question,Low,2025-04-25,2025-04-28,7,Closed,1,3.0,0,1,2025,4,2025-04
T000134,D007,IT Access,High,2025-12-01,2025-12-09,3,Closed,1,8.0,1,0,2025,12,2025-12
T000135,D008,Payroll Issue,Low,2024-10-03,,7,Open,0,0.0,0,0,2024,10,2024-10
T000136,D001,Payroll Issue,Medium,2026-05-16,,5,In Progress,0,0.0,0,0,2026,5,2026-05
T000137,D011,Benefits Question,Low,2024-07-08,2024-07-10,7,Closed,1,2.0,0,1,2024,7,2024-07
T000138,D008,IT Access,High,2025-05-07,2025-05-15,3,Closed,1,8.0,1,0,2025,5,2025-05
T000139,D008,Vendor Request,High,2024-07-09,2024-07-14,3,Closed,1,5.0,1,0,2024,7,2024-07
T000140,D002,System Support,Critical,2026-02-14,,1,In Progress,0,0.0,0,0,2026,2,2026-02
T000141,D003,Benefits Question,Critical,2025-11-17,2025-11-19,1,Closed,1,2.0,1,0,2025,11,2025-11
T000142,D006,Payroll Issue,Critical,2025-12-20,2025-12-20,1,Closed,1,0.0,0,1,2025,12,2025-12
T000143,D001,Benefits Question,Critical,2024-11-15,2024-11-21,1,Closed,1,6.0,1,0,2024,11,2024-11
T000144,D008,Benefits Question,Medium,2024-11-29,2024-12-03,5,Closed,1,4.0,0,1,2024,11,2024-11
T000145,D005,Onboarding,Low,2025-05-24,,7,In Progress,0,0.0,0,0,2025,5,2025-05
T000146,D012,System Support,Low,2026-05-26,2026-05-27,7,Closed,1,1.0,0,1,2026,5,2026-05
T000147,D002,System Support,High,2025-02-20,2025-02-21,3,Closed,1,1.0,0,1,2025,2,2025-02
T000148,D009,Vendor Request,Medium,2025-10-11,2025-10-13,5,Closed,1,2.0,0,1,2025,10,2025-10
T000149,D009,IT Access,Critical,2025-02-22,2025-03-05,1,Closed,1,11.0,1,0,2025,2,2025-02
T000150,D007,Onboarding,Critical,2025-05-24,2025-06-03,1,Closed,1,10.0,1,0,2025,5,2025-05
T000151,D004,Vendor Request,High,2026-03-02,2026-03-05,3,Closed,1,3.0,0,1,2026,3,2026-03
T000152,D002,Vendor Request,Low,2024-11-21,,7,In Progress,0,0.0,0,0,2024,11,2024-11
T000153,D009,Onboarding,Medium,2026-01-17,2026-01-22,5,Closed,1,5.0,0,1,2026,1,2026-01
T000154,D008,Payroll Issue,Medium,2024-08-28,2024-08-29,5,Closed,1,1.0,0,1,2024,8,2024-08
T000155,D004,Payroll Issue,Medium,2025-04-30,2025-05-02,5,Closed,1,2.0,0,1,2025,4,2025-04
T000156,D001,Vendor Request,Low,2026-02-06,2026-02-09,7,Closed,1,3.0,0,1,2026,2,2026-02
T000157,D011,Vendor Request,Medium,2025-11-04,2025-11-08,5,Closed,1,4.0,0,1,2025,11,2025-11
T000158,D011,Payroll Issue,High,2025-12-20,2025-12-26,3,Closed,1,6.0,1,0,2025,12,2025-12
T000159,D006,System Support,Low,2026-03-01,2026-03-04,7,Closed,1,3.0,0,1,2026,3,2026-03
T000160,D002,Vendor Request,Critical,2026-01-30,2026-01-31,1,Closed,1,1.0,0,1,2026,1,2026-01
T000161,D009,Benefits Question,High,2025-07-29,2025-07-30,3,Closed,1,1.0,0,1,2025,7,2025-07
T000162,D009,Vendor Request,Low,2025-04-04,2025-04-05,7,Closed,1,1.0,0,1,2025,4,2025-04
T000163,D012,Onboarding,Critical,2026-02-03,2026-02-07,1,Closed,1,4.0,1,0,2026,2,2026-02
T000164,D007,Payroll Issue,Medium,2024-10-27,2024-10-29,5,Closed,1,2.0,0,1,2024,10,2024-10
T000165,D010,Onboarding,Low,2025-10-15,2025-10-19,7,Closed,1,4.0,0,1,2025,10,2025-10
T000166,D010,IT Access,High,2024-07-26,2024-08-04,3,Closed,1,9.0,1,0,2024,7,2024-07
T000167,D006,Vendor Request,High,2024-08-13,2024-08-15,3,Closed,1,2.0,0,1,2024,8,2024-08
T000168,D007,System Support,Critical,2025-09-10,2025-09-17,1,Closed,1,7.0,1,0,2025,9,2025-09
T000169,D010,Onboarding,Critical,2026-03-26,2026-04-01,1,Closed,1,6.0,1,0,2026,3,2026-03
T000170,D003,Benefits Question,Critical,2024-07-17,2024-07-21,1,Closed,1,4.0,1,0,2024,7,2024-07
T000171,D003,Onboarding,Critical,2025-11-13,2025-11-16,1,Closed,1,3.0,1,0,2025,11,2025-11
T000172,D007,Benefits Question,Medium,2025-12-29,2026-01-02,5,Closed,1,4.0,0,1,2025,12,2025-12
T000173,D001,System Support,Critical,2025-02-15,2025-02-20,1,Closed,1,5.0,1,0,2025,2,2025-02
T000174,D005,Benefits Question,Low,2025-06-10,2025-06-13,7,Closed,1,3.0,0,1,2025,6,2025-06
T000175,D006,Benefits Question,High,2024-09-14,2024-09-17,3,Closed,1,3.0,0,1,2024,9,2024-09
T000176,D005,Vendor Request,Low,2025-04-18,2025-04-19,7,Closed,1,1.0,0,1,2025,4,2025-04
T000177,D004,Payroll Issue,High,2026-02-24,2026-03-01,3,Closed,1,5.0,1,0,2026,2,2026-02
T000178,D012,Vendor Request,High,2025-12-29,2025-12-30,3,Closed,1,1.0,0,1,2025,12,2025-12
T000179,D005,System Support,Critical,2024-11-24,,1,Open,0,0.0,0,0,2024,11,2024-11
T000180,D010,System Support,Low,2025-09-16,2025-09-24,7,Closed,1,8.0,1,0,2025,9,2025-09
T000181,D004,Vendor Request,Medium,2024-10-14,2024-10-15,5,Closed,1,1.0,0,1,2024,10,2024-10
T000182,D007,System Support,Critical,2025-08-29,2025-09-01,1,Closed,1,3.0,1,0,2025,8,2025-08
T000183,D009,Benefits Question,Low,2025-04-28,2025-04-30,7,Closed,1,2.0,0,1,2025,4,2025-04
T000184,D009,Payroll Issue,Low,2025-08-02,2025-08-05,7,Closed,1,3.0,0,1,2025,8,2025-08
T000185,D005,System Support,Critical,2024-09-04,2024-09-07,1,Closed,1,3.0,1,0,2024,9,2024-09
T000186,D003,Onboarding,Low,2025-09-09,,7,In Progress,0,0.0,0,0,2025,9,2025-09
T000187,D004,Payroll Issue,Low,2026-04-06,2026-04-08,7,Closed,1,2.0,0,1,2026,4,2026-04
T000188,D004,IT Access,Critical,2025-08-04,2025-08-08,1,Closed,1,4.0,1,0,2025,8,2025-08
T000189,D006,System Support,Medium,2026-02-14,2026-02-17,5,Closed,1,3.0,0,1,2026,2,2026-02
T000190,D005,Benefits Question,Critical,2024-09-07,,1,In Progress,0,0.0,0,0,2024,9,2024-09
T000191,D009,Vendor Request,Low,2025-06-08,,7,In Progress,0,0.0,0,0,2025,6,2025-06
T000192,D011,IT Access,Medium,2024-06-18,2024-06-24,5,Closed,1,6.0,1,0,2024,6,2024-06
T000193,D008,Onboarding,Critical,2025-01-17,2025-01-22,1,Closed,1,5.0,1,0,2025,1,2025-01
T000194,D008,Onboarding,High,2025-03-22,2025-03-26,3,Closed,1,4.0,1,0,2025,3,2025-03
T000195,D003,Benefits Question,Low,2024-07-11,2024-07-15,7,Closed,1,4.0,0,1,2024,7,2024-07
T000196,D005,IT Access,Critical,2026-03-08,2026-03-15,1,Closed,1,7.0,1,0,2026,3,2026-03
T000197,D003,Onboarding,Medium,2024-06-26,2024-07-03,5,Closed,1,7.0,1,0,2024,6,2024-06
T000198,D011,Payroll Issue,Medium,2024-07-21,2024-07-23,5,Closed,1,2.0,0,1,2024,7,2024-07
T000199,D005,System Support,Critical,2026-01-17,2026-01-18,1,Closed,1,1.0,0,1,2026,1,2026-01
T000200,D009,IT Access,Low,2026-04-23,,7,In Progress,0,0.0,0,0,2026,4,2026-04
T000201,D003,System Support,Medium,2024-06-26,2024-07-01,5,Closed,1,5.0,0,1,2024,6,2024-06
T000202,D010,IT Access,Medium,2024-10-27,2024-11-02,5,Closed,1,6.0,1,0,2024,10,2024-10
T000203,D010,Benefits Question,High,2026-04-30,2026-05-07,3,Closed,1,7.0,1,0,2026,4,2026-04
T000204,D007,Vendor Request,High,2024-09-27,2024-09-30,3,Closed,1,3.0,0,1,2024,9,2024-09
T000205,D008,Benefits Question,Medium,2025-10-13,2025-10-18,5,Closed,1,5.0,0,1,2025,10,2025-10
T000206,D008,Benefits Question,Critical,2024-07-30,,1,In Progress,0,0.0,0,0,2024,7,2024-07
T000207,D010,IT Access,Low,2024-11-27,2024-12-07,7,Closed,1,10.0,1,0,2024,11,2024-11
T000208,D011,Benefits Question,High,2024-10-07,,3,In Progress,0,0.0,0,0,2024,10,2024-10
T000209,D005,System Support,Low,2025-04-05,,7,Open,0,0.0,0,0,2025,4,2025-04
T000210,D008,IT Access,High,2024-09-16,2024-09-22,3,Closed,1,6.0,1,0,2024,9,2024-09
T000211,D011,Benefits Question,High,2026-03-01,,3,Open,0,0.0,0,0,2026,3,2026-03
T000212,D005,System Support,High,2024-11-23,,3,Open,0,0.0,0,0,2024,11,2024-11
T000213,D004,Payroll Issue,Medium,2024-12-21,2024-12-25,5,Closed,1,4.0,0,1,2024,12,2024-12
T000214,D001,Onboarding,Critical,2025-08-25,,1,Open,0,0.0,0,0,2025,8,2025-08
T000215,D011,Payroll Issue,Low,2025-12-18,2025-12-22,7,Closed,1,4.0,0,1,2025,12,2025-12
T000216,D011,Vendor Request,High,2025-05-10,,3,In Progress,0,0.0,0,0,2025,5,2025-05
T000217,D005,Vendor Request,Critical,2024-06-15,,1,Open,0,0.0,0,0,2024,6,2024-06
T000218,D007,System Support,Low,2026-03-26,2026-03-26,7,Closed,1,0.0,0,1,2026,3,2026-03
T000219,D010,System Support,Medium,2024-06-18,,5,In Progress,0,0.0,0,0,2024,6,2024-06
T000220,D006,System Support,Medium,2026-05-31,,5,Open,0,0.0,0,0,2026,5,2026-05
T000221,D011,Onboarding,Critical,2024-10-05,,1,In Progress,0,0.0,0,0,2024,10,2024-10
T000222,D009,Benefits Question,Medium,2026-05-25,2026-05-28,5,Closed,1,3.0,0,1,2026,5,2026-05
T000223,D011,Onboarding,Medium,2024-12-27,,5,In Progress,0,0.0,0,0,2024,12,2024-12
T000224,D002,Vendor Request,Medium,2025-04-05,2025-04-09,5,Closed,1,4.0,0,1,2025,4,2025-04
T000225,D012,Benefits Question,Medium,2026-05-28,,5,Open,0,0.0,0,0,2026,5,2026-05
T000226,D011,Benefits Question,Low,2026-02-04,,7,In Progress,0,0.0,0,0,2026,2,2026-02
T000227,D004,Benefits Question,Medium,2026-01-20,2026-01-21,5,Closed,1,1.0,0,1,2026,1,2026-01
T000228,D012,Benefits Question,Critical,2024-12-31,2024-12-31,1,Closed,1,0.0,0,1,2024,12,2024-12
T000229,D006,Benefits Question,High,2025-07-27,2025-07-29,3,Closed,1,2.0,0,1,2025,7,2025-07
T000230,D010,Benefits Question,Critical,2026-01-28,2026-01-31,1,Closed,1,3.0,1,0,2026,1,2026-01
T000231,D002,Vendor Request,Low,2026-01-04,2026-01-10,7,Closed,1,6.0,0,1,2026,1,2026-01
T000232,D011,Onboarding,Low,2026-02-14,2026-02-21,7,Closed,1,7.0,0,1,2026,2,2026-02
T000233,D004,Onboarding,Low,2024-10-20,2024-10-27,7,Closed,1,7.0,0,1,2024,10,2024-10
T000234,D009,Benefits Question,Critical,2025-08-26,,1,In Progress,0,0.0,0,0,2025,8,2025-08
T000235,D001,Payroll Issue,Medium,2025-05-14,2025-05-17,5,Closed,1,3.0,0,1,2025,5,2025-05
T000236,D004,Benefits Question,Critical,2026-05-28,2026-06-04,1,Closed,1,7.0,1,0,2026,5,2026-05
T000237,D010,Vendor Request,Medium,2025-12-18,2025-12-19,5,Closed,1,1.0,0,1,2025,12,2025-12
T000238,D006,System Support,Medium,2025-10-22,,5,In Progress,0,0.0,0,0,2025,10,2025-10
T000239,D002,Vendor Request,High,2025-12-05,2025-12-06,3,Closed,1,1.0,0,1,2025,12,2025-12
T000240,D011,Payroll Issue,High,2025-03-20,2025-03-24,3,Closed,1,4.0,1,0,2025,3,2025-03
T000241,D011,IT Access,Low,2024-08-29,,7,In Progress,0,0.0,0,0,2024,8,2024-08
T000242,D005,Payroll Issue,Medium,2025-12-06,2025-12-08,5,Closed,1,2.0,0,1,2025,12,2025-12
T000243,D010,Payroll Issue,Critical,2025-06-24,2025-06-30,1,Closed,1,6.0,1,0,2025,6,2025-06
T000244,D002,Payroll Issue,Critical,2024-10-29,2024-11-02,1,Closed,1,4.0,1,0,2024,10,2024-10
T000245,D011,Vendor Request,Critical,2026-04-03,2026-04-07,1,Closed,1,4.0,1,0,2026,4,2026-04
T000246,D007,Vendor Request,Critical,2024-10-15,,1,In Progress,0,0.0,0,0,2024,10,2024-10
T000247,D001,IT Access,Medium,2025-11-15,2025-11-19,5,Closed,1,4.0,0,1,2025,11,2025-11
T000248,D001,Benefits Question,Medium,2024-12-12,2024-12-19,5,Closed,1,7.0,1,0,2024,12,2024-12
T000249,D001,System Support,Low,2024-07-21,2024-07-22,7,Closed,1,1.0,0,1,2024,7,2024-07
T000250,D011,System Support,Medium,2025-05-06,2025-05-09,5,Closed,1,3.0,0,1,2025,5,2025-05
